Algorithm,Speed_Mean,CI_Lower,CI_Upper,N_Files
brotli,0.7786921583908564,0.6336114047940865,0.9237729119876262,388
bzip2,4.526224888978497,4.027924471330821,5.024525306626173,388
gzip,5.555248305192702,4.279013336898931,6.831483273486473,388
lzma,1.0425196897525733,0.8673275983093449,1.2177117811958016,388
zstd,2.7592616042450087,1.5632556475207082,3.9552675609693093,388
