algorithm,size_bin,mean,std,count
brotli,Large,0.8438170125178559,0.44293983648260155,13
brotli,Medium,1.710303269453009,4.81785540025871,21
brotli,Small,0.72103550179211,0.9691586995971897,354
bzip2,Large,9.745244848689138,2.857235070322934,13
bzip2,Medium,14.433712354589172,8.000027875254629,21
bzip2,Small,3.7468336566223877,3.9959976724322472,354
gzip,Large,24.33212941992804,20.6974686348778,13
gzip,Medium,26.553397148681196,34.17997323188602,21
gzip,Small,3.6200489260830473,7.450285218479536,354
lzma,Large,3.8592280485247397,2.0432487301600433,13
lzma,Medium,4.43016714506955,4.960479435091675,21
lzma,Small,0.7381191100189728,0.8794947532773123,354
zstd,Large,6.097476864040602,5.539942193190593,13
zstd,Medium,14.054487675084548,50.29273833130347,21
zstd,Small,1.9666159944569492,2.103475291147027,354
