algorithm,Canterbury,Heterogeneous
brotli,3.67 (3.28-4.07),3.50 (2.95-4.10)
bzip2,3.33 (3.08-3.64),2.67 (2.07-3.30)
gzip,3.00 (2.81-3.34),2.71 (2.18-3.21)
lzma,3.20 (2.96-3.65),2.70 (2.05-3.28)
zstd,3.17 (3.08-3.51),2.78 (2.19-3.39)
