Algorithm,Compression Ratio,Speed (MB/s),N_Files
brotli,42.39 ± 461.67,0.8 ± 1.5,7142.857142857142
bzip2,13.55 ± 129.50,4.5 ± 5.0,2127.659574468085
gzip,6.60 ± 44.81,5.6 ± 12.8,751.8796992481203
lzma,11.36 ± 104.84,1.0 ± 1.8,1874.074074074074
zstd,28.79 ± 303.71,2.8 ± 12.0,4761.9047619047615
