Algorithm,Compression Ratio,Speed (MB/s),Memory (MB),N_Files
brotli,42.08 ± 459.90,0.8 ± 1.4,0.18 ± 0.17,391
bzip2,13.47 ± 129.01,4.6 ± 5.1,0.15 ± 0.22,391
gzip,6.57 ± 44.64,5.7 ± 12.9,0.15 ± 0.20,391
lzma,11.29 ± 104.44,1.1 ± 1.8,0.15 ± 0.23,391
zstd,28.58 ± 302.55,2.8 ± 11.9,0.15 ± 0.16,391
