algorithm,Canterbury,Heterogeneous
brotli,5.44 ± 4.66,329.32 ± 1318.14
bzip2,4.30 ± 2.47,92.87 ± 370.03
gzip,3.70 ± 2.15,33.99 ± 128.02
lzma,5.62 ± 5.79,74.03 ± 299.93
zstd,5.07 ± 4.44,220.27 ± 866.43
