filename,filepath,algorithm,original_size,compressed_size,compressed_size_std,compression_ratio,compression_ratio_std,speed_mbps,speed_mbps_std,memory_mb,memory_mb_std,num_runs
a.txt,data\academic_corpora\artificial\a.txt,gzip,1,21.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.10442708333333334,0.006260841291755887,3
a.txt,data\academic_corpora\artificial\a.txt,bzip2,1,37.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,lzma,1,60.0,0.0,0.016666666666666666,0.0,4.942777072847469e-05,1.2445274529980583e-05,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,zstd,1,10.0,0.0,0.10000000000000002,1.3877787807814457e-17,0.0,0.0,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,brotli,1,5.0,0.0,0.20000000000000004,2.7755575615628914e-17,0.0,0.0,0.21119791666666665,0.1572576018576332,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,gzip,100000,133.0,0.0,751.8796992481203,0.0,3.1764939448084175,4.4922408175440784,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,bzip2,100000,47.0,0.0,2127.659574468085,0.0,11.728829462819611,16.587069697080636,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,lzma,100000,148.0,0.0,675.6756756756756,0.0,5.2149043235437,1.4595826131461047,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,zstd,100000,21.0,0.0,4761.9047619047615,0.0,64.68444856725954,86.54034477074862,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,brotli,100000,14.0,0.0,7142.857142857142,9.094947017729282e-13,3.729185440668721,2.6415680697629296,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,gzip,100000,302.0,0.0,331.12582781456956,0.0,36.628916151829486,25.91803053666452,0.13828125,0.05413786293459505,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,bzip2,100000,131.0,0.0,763.3587786259542,0.0,6.017059404518147,0.9513311988911721,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,lzma,100000,176.0,0.0,568.1818181818181,0.0,6.741718839460565,3.160023627025953,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,zstd,100000,46.0,0.0,2173.913043478261,0.0,4.170967977393354,5.898639481853557,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,brotli,100000,34.0,0.0,2941.1764705882356,4.547473508864641e-13,7.218789095469343,6.276951371609776,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,gzip,100000,75747.0,0.0,1.3201842977279628,0.0,74.36970926043655,79.7849293780902,0.18125,0.11490485194281397,3
random.txt,data\academic_corpora\artificial\random.txt,bzip2,100000,75684.0,0.0,1.3212832302732413,0.0,9.544976660232999,2.3343729553016366,0.10052083333333334,0.0007365695637359844,3
random.txt,data\academic_corpora\artificial\random.txt,lzma,100000,76824.0,0.0,1.3016765594085182,0.0,2.7129651649974513,0.5498800784647665,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,zstd,100000,75114.0,0.0,1.3313097425246958,0.0,7.510635276241056,3.966694950875847,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,brotli,100000,75022.0,0.0,1.332942336914505,0.0,0.9746529019276986,0.07055196603720568,0.7117187500000001,0.44013020756291543,3
bib,data\academic_corpora\calgary\bib,gzip,111261,35083.0,0.0,3.171365048599037,4.440892098500626e-16,10.99831511276796,0.5602031554030936,0.1578125,0.08175922157469456,3
bib,data\academic_corpora\calgary\bib,bzip2,111261,27467.0,0.0,4.0507154039392725,0.0,9.171659298361396,0.9389523447490508,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,lzma,111261,30588.0,0.0,3.6374068262063552,0.0,1.976669718261503,0.038552285661100166,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,zstd,111261,31936.0,0.0,3.483873997995992,0.0,1.549769060013703,0.06553759443391112,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,brotli,111261,28380.0,0.0,3.9204016913319237,0.0,0.5578340967293566,0.013626783881560653,0.12005208333333332,0.028357928203835498,3
book1,data\academic_corpora\calgary\book1,gzip,768771,312498.0,0.0,2.460082944530845,0.0,7.70421369454071,0.04868054261987973,0.41484375,0.28843752821415536,3
book1,data\academic_corpora\calgary\book1,bzip2,768771,232598.0,0.0,3.305148797496109,0.0,9.047686239430439,0.13162274042645616,0.3106770833333333,0.21706600068761087,3
book1,data\academic_corpora\calgary\book1,lzma,768771,261116.0,0.0,2.944174236737695,0.0,2.103982064807405,0.13897992389162017,0.22421875,0.1756718409510329,3
book1,data\academic_corpora\calgary\book1,zstd,768771,264765.0,0.0,2.9035975298849923,0.0,2.4109766016313965,0.004114183852156416,0.21171874999999998,0.0790131804339736,3
book1,data\academic_corpora\calgary\book1,brotli,768771,256323.0,0.0,2.9992275371308863,4.440892098500626e-16,0.5138199015136046,0.06859882980303245,0.20260416666666667,0.07283198207413569,3
