filename,filepath,algorithm,original_size,compressed_size,compressed_size_std,compression_ratio,compression_ratio_std,speed_mbps,speed_mbps_std,memory_mb,memory_mb_std,num_runs
a.txt,data\academic_corpora\artificial\a.txt,gzip,1,21.0,0.0,0.047619047619047616,0.0,0.00022772559066325078,0.00032205261881539316,0.10572916666666667,0.008102265201095854,3
a.txt,data\academic_corpora\artificial\a.txt,bzip2,1,37.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,lzma,1,60.0,0.0,0.016666666666666666,0.0,7.490073222255702e-05,2.6084362354680305e-05,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,zstd,1,10.0,0.0,0.10000000000000002,1.3877787807814457e-17,0.0,0.0,0.10000000000000002,1.3877787807814457e-17,3
a.txt,data\academic_corpora\artificial\a.txt,brotli,1,5.0,0.0,0.20000000000000004,2.7755575615628914e-17,0.00025581990278843696,0.00036178397604837425,0.21119791666666665,0.1572576018576332,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,gzip,100000,133.0,0.0,751.8796992481203,0.0,56.388375335991874,40.103646431377456,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,bzip2,100000,47.0,0.0,2127.659574468085,0.0,58.861929031048504,41.94429005254296,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,lzma,100000,148.0,0.0,675.6756756756756,0.0,5.352904523700826,0.4904527467701391,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,zstd,100000,21.0,0.0,4761.9047619047615,0.0,63.5677429844775,44.949185960373605,0.10000000000000002,1.3877787807814457e-17,3
aaa.txt,data\academic_corpora\artificial\aaa.txt,brotli,100000,14.0,0.0,7142.857142857142,9.094947017729282e-13,10.54604052614186,0.13393509328337241,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,gzip,100000,302.0,0.0,331.12582781456956,0.0,61.13425781924324,43.30286049717336,0.1356770833333333,0.05045501511591511,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,bzip2,100000,131.0,0.0,763.3587786259542,0.0,8.48626201024687,0.1795775305916568,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,lzma,100000,176.0,0.0,568.1818181818181,0.0,5.477205106519873,0.6325432887261874,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,zstd,100000,46.0,0.0,2173.913043478261,0.0,63.303660634673115,44.76244865465291,0.10000000000000002,1.3877787807814457e-17,3
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,brotli,100000,34.0,0.0,2941.1764705882356,4.547473508864641e-13,18.999582134679713,0.09885785915971426,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,gzip,100000,75747.0,0.0,1.3201842977279628,0.0,31.133201424149803,5.879856366028526,0.19296875,0.13147766712687367,3
random.txt,data\academic_corpora\artificial\random.txt,bzip2,100000,75684.0,0.0,1.3212832302732413,0.0,16.246051146519694,1.4942664378745343,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,lzma,100000,76824.0,0.0,1.3016765594085182,0.0,2.8608397418246363,0.11938048739079417,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,zstd,100000,75114.0,0.0,1.3313097425246958,0.0,9.156128787265773,0.7565394149839921,0.10000000000000002,1.3877787807814457e-17,3
random.txt,data\academic_corpora\artificial\random.txt,brotli,100000,75022.0,0.0,1.332942336914505,0.0,1.6195759560610081,0.0330053807571598,0.6479166666666667,0.387763652185964,3
bib,data\academic_corpora\calgary\bib,gzip,111261,35083.0,0.0,3.171365048599037,4.440892098500626e-16,17.61319253100024,0.7066654561092945,0.1890625,0.12595339539885378,3
bib,data\academic_corpora\calgary\bib,bzip2,111261,27467.0,0.0,4.0507154039392725,0.0,17.16114742179685,0.7443920403294771,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,lzma,111261,30588.0,0.0,3.6374068262063552,0.0,3.3969163745839914,0.07818980482134129,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,zstd,111261,31936.0,0.0,3.483873997995992,0.0,2.7064058586933153,0.0961829902696961,0.10000000000000002,1.3877787807814457e-17,3
bib,data\academic_corpora\calgary\bib,brotli,111261,28380.0,0.0,3.9204016913319237,0.0,0.9479960252615057,0.053712840340501646,0.10000000000000002,1.3877787807814457e-17,3
book1,data\academic_corpora\calgary\book1,gzip,768771,312498.0,0.0,2.460082944530845,0.0,13.332187426130085,1.2188599197872996,0.4057291666666667,0.32718201138875114,3
book1,data\academic_corpora\calgary\book1,bzip2,768771,232598.0,0.0,3.305148797496109,0.0,16.11278417759478,1.5220288184026636,0.20052083333333334,0.031304206458779446,3
book1,data\academic_corpora\calgary\book1,lzma,768771,261116.0,0.0,2.944174236737695,0.0,3.294894243699924,0.05760031933950451,0.42578125,0.2681596289312425,3
book1,data\academic_corpora\calgary\book1,zstd,768771,264765.0,0.0,2.9035975298849923,0.0,4.136784168187561,0.04972087831130724,0.20781249999999998,0.07623494984667464,3
