filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
paper1,data\academic_corpora\calgary\paper1,bzip2,53161,16558,3.2105930667955067,0.0029993057250976562,16.903338632750398
paper1,data\academic_corpora\calgary\paper1,lzma,53161,17280,3.0764467592592593,0.021999359130859375,2.304534419975724
paper1,data\academic_corpora\calgary\paper1,zstd,53161,17618,3.017425360426836,0.014392614364624023,3.5225205824374246
paper1,data\academic_corpora\calgary\paper1,brotli,53161,15457,3.4392831726725754,0.05295515060424805,0.9573814776462113
paper2,data\academic_corpora\calgary\paper2,gzip,82199,29677,2.7697880513528994,0.004605770111083984,17.020188425302827
paper2,data\academic_corpora\calgary\paper2,bzip2,82199,25041,3.2825765744179547,0.0055086612701416016,14.230512876000866
paper2,data\academic_corpora\calgary\paper2,lzma,82199,27228,3.0189143528720437,0.030401945114135742,2.5784888052385995
paper2,data\academic_corpora\calgary\paper2,zstd,82199,27557,2.982871865587691,0.024455547332763672,3.2054516739134673
paper2,data\academic_corpora\calgary\paper2,brotli,82199,24850,3.3078068410462778,0.08625006675720215,0.9088813270713375
paper3,data\academic_corpora\calgary\paper3,gzip,46526,18067,2.57519233962473,0.0025107860565185547,17.67201595290096
paper3,data\academic_corpora\calgary\paper3,bzip2,46526,15837,2.937803876996906,0.0025060176849365234,17.705641708686137
paper3,data\academic_corpora\calgary\paper3,lzma,46526,17064,2.726558837318331,0.02016925811767578,2.1999148895928884
paper3,data\academic_corpora\calgary\paper3,zstd,46526,17183,2.7076761915847056,0.011408567428588867,3.8892395143257192
paper3,data\academic_corpora\calgary\paper3,brotli,46526,14639,3.1782225561855317,0.048773765563964844,0.9097237158555423
paper4,data\academic_corpora\calgary\paper4,gzip,13286,5527,2.4038357155780714,0.0009989738464355469,12.683532219570406
paper4,data\academic_corpora\calgary\paper4,bzip2,13286,5188,2.5609097918272936,0.0021517276763916016,5.888531855955678
paper4,data\academic_corpora\calgary\paper4,lzma,13286,5408,2.456730769230769,0.01395273208618164,0.9081029356481324
paper4,data\academic_corpora\calgary\paper4,zstd,13286,5369,2.4745762711864407,0.0028553009033203125,4.437541750167001
paper4,data\academic_corpora\calgary\paper4,brotli,13286,4283,3.1020312864814383,0.01451253890991211,0.8730737637588303
paper5,data\academic_corpora\calgary\paper5,gzip,11954,4988,2.396551724137931,0.0,0.0
paper5,data\academic_corpora\calgary\paper5,bzip2,11954,4837,2.4713665495141615,0.0015027523040771484,7.586228779946057
paper5,data\academic_corpora\calgary\paper5,lzma,11954,4900,2.439591836734694,0.013266801834106445,0.8593045197232456
paper5,data\academic_corpora\calgary\paper5,zstd,11954,4865,2.4571428571428573,0.002170085906982422,5.253350911887497
paper5,data\academic_corpora\calgary\paper5,brotli,11954,4073,2.934937392585318,0.012859106063842773,0.8865486233429127
paper6,data\academic_corpora\calgary\paper6,gzip,38105,13292,2.866761962082456,0.0015103816986083984,24.059984214680348
paper6,data\academic_corpora\calgary\paper6,bzip2,38105,12292,3.0999837292548,0.002435445785522461,14.92119432207538
paper6,data\academic_corpora\calgary\paper6,lzma,38105,12504,3.0474248240563018,0.02426457405090332,1.4976467235907363
paper6,data\academic_corpora\calgary\paper6,zstd,38105,12728,2.9937932118164676,0.010751008987426758,3.38012551837314
