filename,filepath,ensemble_ratio,baseline_ratio,improvement_pct
E.coli,data\academic_corpora\large\E.coli,4.006794471135159,3.909597062928576,2.4861234199356272
world192.txt,data\academic_corpora\large\world192.txt,3.8213627992633517,5.0737242867575265,-24.683278331911954
pi.txt,data\academic_corpora\miscellaneous\pi.txt,2.354775130748889,2.2833552535437676,3.1278478061737394
.asf.yaml,data\academic_corpora\required_corpus\.asf.yaml,2.4576719576719577,1.4606918238993711,68.25396825396824
.checkstyle,data\academic_corpora\required_corpus\.checkstyle,3.011029411764706,1.9878640776699028,51.47058823529414
.gitattributes,data\academic_corpora\required_corpus\.gitattributes,2.5285171102661597,1.8892045454545454,33.840304182509506
.gitignore,data\academic_corpora\required_corpus\.gitignore,1.6227272727272728,1.1018518518518519,47.27272727272728
ant-antunit-1.4.1.jar,data\academic_corpora\required_corpus\ant-antunit-1.4.1.jar,1.1217421564497518,1.1052840539955244,1.4890382607740082
ant-bin.wxs,data\academic_corpora\required_corpus\ant-bin.wxs,9.15669153833942,8.583035714285714,6.683600571519302
ant-docs.desktop,data\academic_corpora\required_corpus\ant-docs.desktop,2.3851851851851853,1.4375,65.92592592592594
ant-docs.sh,data\academic_corpora\required_corpus\ant-docs.sh,2.3905325443786984,1.4027777777777777,70.41420118343198
ant-logo.png,data\academic_corpora\required_corpus\ant-logo.png,1.0193057429899535,1.00916716152019,1.0046483730694193
ant-msi.wxs,data\academic_corpora\required_corpus\ant-msi.wxs,4.051324503311259,3.11323155216285,30.13245033112583
ant-update.xsl,data\academic_corpora\required_corpus\ant-update.xsl,3.836,2.8456973293768546,34.79999999999999
ant.html,data\academic_corpora\required_corpus\ant.html,4.556037151702786,3.704934541792548,22.972136222910212
ant.properties.sample,data\academic_corpora\required_corpus\ant.properties.sample,2.506072874493927,1.6119791666666667,55.4655870445344
antcall.html,data\academic_corpora\required_corpus\antcall.html,3.6486486486486487,2.7739726027397262,31.53153153153152
antexternal.html,data\academic_corpora\required_corpus\antexternal.html,2.9710815500289183,2.1297678275290215,39.502602660497395
antlib.html,data\academic_corpora\required_corpus\antlib.html,3.969118982742961,3.1036931818181817,27.883742052679395
antlr.html,data\academic_corpora\required_corpus\antlr.html,3.440337224383917,2.5166034155597723,36.705577172503254
antstructure.html,data\academic_corpora\required_corpus\antstructure.html,2.9355385920271417,2.0263466042154565,44.86853265479221
anttaskslist.html,data\academic_corpora\required_corpus\anttaskslist.html,2.902892561983471,1.664691943127962,74.38016528925618
anttool1.gif,data\academic_corpora\required_corpus\anttool1.gif,0.9990510083036773,0.9857209737827716,1.352313167259781
antversion.html,data\academic_corpora\required_corpus\antversion.html,3.3867595818815333,2.3069620253164556,46.806039488966334
ant_logo_large.gif,data\academic_corpora\required_corpus\ant_logo_large.gif,1.0339766240826311,1.0225806451612902,1.114433269910311
apply.html,data\academic_corpora\required_corpus\apply.html,4.316304347826087,3.5813492063492065,20.52173913043477
argumentprocessor.html,data\academic_corpora\required_corpus\argumentprocessor.html,3.1772679874869656,2.0699728260869565,53.4932221063608
assertions.html,data\academic_corpora\required_corpus\assertions.html,3.7969418960244647,2.781362007168459,36.51376146788991
attrib.html,data\academic_corpora\required_corpus\attrib.html,3.317044793484584,2.4243197278911564,36.82373472949389
augment.html,data\academic_corpora\required_corpus\augment.html,2.9253910950661854,1.923259493670886,52.10589651022865
available.html,data\academic_corpora\required_corpus\available.html,3.905576679340938,2.918087121212121,33.84030418250952
basename.html,data\academic_corpora\required_corpus\basename.html,3.188053097345133,2.176737160120846,46.46017699115043
base_task_classes.html,data\academic_corpora\required_corpus\base_task_classes.html,3.4541666666666666,2.1892605633802815,57.777777777777786
bindtargets.html,data\academic_corpora\required_corpus\bindtargets.html,3.126801152737752,2.091902313624679,49.471661863592686
bootstrap.bat,data\academic_corpora\required_corpus\bootstrap.bat,3.5179806362378976,2.832405345211581,24.204702627939145
bootstrap.sh,data\academic_corpora\required_corpus\bootstrap.sh,3.280809319435929,2.6281925343811396,24.831391784181477
BorlandEJBTasks.html,data\academic_corpora\required_corpus\BorlandEJBTasks.html,3.35290404040404,2.5099243856332705,33.58585858585857
BorlandGenerateClient.html,data\academic_corpora\required_corpus\BorlandGenerateClient.html,2.924314096499527,2.0998641304347827,39.26206244087037
build.bat,data\academic_corpora\required_corpus\build.bat,2.839100346020761,2.011029411764706,41.176470588235276
build.sh,data\academic_corpora\required_corpus\build.sh,2.6524725274725274,1.9156746031746033,38.46153846153845
build.xml,data\academic_corpora\required_corpus\build.xml,3.3907125700560448,2.6871827411167515,26.18094475580463
build.xml.01-propertyaccess,data\academic_corpora\required_corpus\build.xml.01-propertyaccess,4.080459770114943,3.2126696832579187,27.011494252873565
build.xml.02-fileset,data\academic_corpora\required_corpus\build.xml.02-fileset,4.8454773869346734,3.9038461538461537,24.120603015075382
build.xml.03-paths,data\academic_corpora\required_corpus\build.xml.03-paths,4.911407766990291,3.9676470588235295,23.78640776699029
build.xml.04-lists,data\academic_corpora\required_corpus\build.xml.04-lists,5.975247524752476,4.962993421052632,20.396039603960396
buildnumber.html,data\academic_corpora\required_corpus\buildnumber.html,2.946595460614152,1.889554794520548,55.94125500667555
cab.html,data\academic_corpora\required_corpus\cab.html,3.768778576094056,2.8339882121807465,32.98497713912476
ccm.html,data\academic_corpora\required_corpus\ccm.html,5.174636174636174,3.8410493827160495,34.71933471933471
changelog.html,data\academic_corpora\required_corpus\changelog.html,4.074620573355818,3.1502607561929596,29.34232715008433
changelog.xsl,data\academic_corpora\required_corpus\changelog.xsl,3.972682119205298,2.83628841607565,40.06622516556291
check.xml,data\academic_corpora\required_corpus\check.xml,4.696533333333333,4.080630213160334,15.093333333333314
checkstyle-config,data\academic_corpora\required_corpus\checkstyle-config,3.702143950995406,2.811046511627907,31.699846860643195
checkstyle-frames-sortby-check.xsl,data\academic_corpora\required_corpus\checkstyle-frames-sortby-check.xsl,4.7779527559055115,3.806775407779172,25.511811023622045
checkstyle-frames.xsl,data\academic_corpora\required_corpus\checkstyle-frames.xsl,5.28804608737398,4.1534690799396685,27.316370619299075
checkstyle-text.xsl,data\academic_corpora\required_corpus\checkstyle-text.xsl,2.8760504201680672,1.7825520833333333,61.34453781512605
