filename,filepath,ensemble_ratio,baseline_ratio,improvement_pct
a.txt,data\academic_corpora\artificial\a.txt,0.2,0.016666666666666666,1100.0000000000002
aaa.txt,data\academic_corpora\artificial\aaa.txt,3846.153846153846,675.6756756756756,469.23076923076934
alphabet.txt,data\academic_corpora\artificial\alphabet.txt,1515.1515151515152,568.1818181818181,166.66666666666669
random.txt,data\academic_corpora\artificial\random.txt,1.332551569745749,1.3016765594085182,2.3719417941474212
bib,data\academic_corpora\calgary\bib,3.6586977967773757,3.6374068262063552,0.5853337717855981
book1,data\academic_corpora\calgary\book1,2.7414886902193487,2.944174236737695,-6.884291832637356
book2,data\academic_corpora\calgary\book2,3.3930789312892298,3.5969945355191255,-5.669055157473744
geo,data\academic_corpora\calgary\geo,1.9084538541821976,1.9188966344351999,-0.5442075443566534
news,data\academic_corpora\calgary\news,3.0043259348958746,3.1716484440706476,-5.275569222925071
obj1,data\academic_corpora\calgary\obj1,2.3021089819077187,2.2808655070004242,0.9313777968097683
obj2,data\academic_corpora\calgary\obj2,3.664103325415677,4.012974765868886,-8.693586698337286
paper1,data\academic_corpora\calgary\paper1,3.4392831726725754,3.0764467592592593,11.794009186776215
paper2,data\academic_corpora\calgary\paper2,3.2414133049410467,3.0189143528720437,7.3701644386608285
paper3,data\academic_corpora\calgary\paper3,3.1782225561855317,2.726558837318331,16.5653391625111
paper4,data\academic_corpora\calgary\paper4,3.1020312864814383,2.456730769230769,26.266635535839374
paper5,data\academic_corpora\calgary\paper5,2.934937392585318,2.439591836734694,20.30444389884606
paper6,data\academic_corpora\calgary\paper6,3.4220925011225862,3.0474248240563018,12.294566681634485
pic,data\academic_corpora\calgary\pic,12.047041149268797,12.22175652505239,-1.4295439074200065
progc,data\academic_corpora\calgary\progc,3.409157414579568,3.1537420382165604,8.098803683621659
progl,data\academic_corpora\calgary\progl,4.96197797631415,4.781500266951415,3.774499619087199
progp,data\academic_corpora\calgary\progp,4.997874493927125,4.769996136012365,4.777327935222667
trans,data\academic_corpora\calgary\trans,5.543098858190854,5.603767942583732,-1.0826480506418972
alice29.txt,data\academic_corpora\canterbury\alice29.txt,3.2018062777625733,3.136373009981028,2.086271867960669
asyoulik.txt,data\academic_corpora\canterbury\asyoulik.txt,2.9679446143632786,2.81073738099515,5.5930957630936255
cp.html,data\academic_corpora\canterbury\cp.html,3.5687554395126195,3.2186028257456827,10.879025239338558
